GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio-carrito,com.perfulandia.carrito.controllers,PedidoController,19,27,0,0,4,6,3,4,3,4
microservicio-carrito,com.perfulandia.carrito.controllers,VentaController,0,39,0,0,0,9,0,6,0,6
microservicio-carrito,com.perfulandia.carrito.controllers,CarritoController,0,42,0,0,0,10,0,6,0,6
microservicio-carrito,com.perfulandia.carrito.exceptions,GlobalExceptionHandler,2,50,1,1,0,9,1,4,0,4
microservicio-carrito,com.perfulandia.carrito.models.dtos,PedidoDTO,0,38,0,0,0,11,0,11,0,11
microservicio-carrito,com.perfulandia.carrito.models.dtos,CarritoItemDTO,0,38,0,0,0,11,0,11,0,11
microservicio-carrito,com.perfulandia.carrito.models.dtos,DetalleVentaDTO,0,31,0,0,0,9,0,9,0,9
microservicio-carrito,com.perfulandia.carrito.models.dtos,VentaDTO,0,31,0,0,0,9,0,9,0,9
microservicio-carrito,com.perfulandia.carrito.models.dtos,DetallePedidoDTO,0,31,0,0,0,9,0,9,0,9
microservicio-carrito,com.perfulandia.carrito.services,CarritoService,1,174,1,5,1,37,1,11,0,9
microservicio-carrito,com.perfulandia.carrito.services,PedidoService,43,161,0,4,10,39,4,7,4,5
microservicio-carrito,com.perfulandia.carrito.services,VentaService,0,167,0,2,0,41,0,9,0,8
microservicio-carrito,com.perfulandia.carrito,CarritoApplication,5,3,0,0,2,1,1,1,1,1
